Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Дрозд,Тетяна,Ярославівна,Жіноча,1954-01-15,Паралегал,селище Великі Мости,"парк Слави, буд. 022, Турка, 83542",969-50-38,taras30@example.net
Ященко,Олександр,Романович,Чоловіча,1982-09-22,Фермер,село П'ятихатки,"набережна Академіка Вільямса, буд. 783, Вишгород, 51462",080 198 19 84,olenamatiash@example.net
Їжак,Пилип,Сергійович,Чоловіча,1983-11-07,Ювелір,село Самбір,"набережна Заводська, буд. 5 кв. 2, Сімферополь, 46678",298-55-19,frantsshvaika@example.net
Артимишин,Соломія,Іванівна,Жіноча,2001-01-31,Електромонтажник,селище Канів,"парк Кришталевий, буд. 8 кв. 57, Кривий Ріг, 05649",875 87 10,karmaliukkyrylo@example.net
Єщенко,Пантелеймон,Юрійович,Чоловіча,2005-01-21,Менеджер,селище Вишгород,"сквер Кощового отамана, буд. 74 кв. 52, Бережани, 28301",886-06-22,rrebryk@example.org
Килимник,Альбіна,Леонідівна,Жіноча,1992-04-30,Юрист,хутір Скадовськ,"проспект 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 68 кв. 02, Баштанка, 68736",906 11 09,antonumanets@example.org
Гупало,Стефан,Юрійович,Чоловіча,2005-09-04,Євнух,село Новодружеськ,"провулок Хлібна гавань, буд. 6 кв. 8, Василівка , 97325",094 040 28 21,bohodar39@example.org
Цісик,Гаврило,Павлович,Чоловіча,2004-09-14,Доцент,село Євпаторія,"набережна Панаса Мирного, буд. 89 кв. 75, Миронівка, 64558",664 79 90,sfareniuk@example.net
Заїка,Ярема,Леонідович,Чоловіча,1955-07-17,Хімік,село Хуст,"шосе Лесі Українки, буд. 3, Молодогвардійськ, 50378",062 394 32 63,vasylenkozorian@example.net
Луценко,Борислав,Романович,Чоловіча,1940-01-08,Різноробочий,місто Приморськ (Україна),"площа Проїзний 2-й, буд. 0, Буськ, 20659",+380 (70) 110-65-75,dziubasvitlana@example.org
Арсенич,Лілія,Андріївна,Жіноча,1982-01-21,Правник,село Красноград,"шосе Восьмого березня узвіз, буд. 75, Подільськ, 81527",463-02-77,myroslavzaika@example.net
Журба,Борис,Євгенович,Чоловіча,2007-05-27,Агроном,село Оріхів,"провулок Вапняний 2-й, буд. 73, Лутугине, 29968",241-39-82,ztalan@example.net
Шморгун,Тарас,Володимирович,Чоловіча,1980-01-21,Геолог,село Миколаївка ,"шосе Перший Кришталевий, буд. 391, Олевськ, 95477",+380 03 520-82-36,aaron15@example.net
Токар,Валерій,Васильович,Чоловіча,1992-02-23,Композитор,село Кіцмань,"проспект Демократична, буд. 47, Новий Калинів, 50561",771 49 47,olha66@example.org
Їжакевич,Вікторія,Іванівна,Жіноча,1983-01-26,Астрофізик,місто Кам'янець-Подільський,"провулок Амбулаторний, буд. 989, Оріхів, 99323",+380 46 089-44-98,daryna69@example.net
Чарниш,Єлисей,Іванович,Чоловіча,1940-12-22,Інженер,хутір Перевальськ,"узвіз Ольгіївський узвіз, буд. 34 кв. 93, Очаків, 60649",+380 83 064-60-82,avramchukboleslav@example.org
Гаврюшенко,Єфрем,Миколайович,Чоловіча,1968-03-26,Випробувач,селище Біла Церква,"вулиця Водопровідний 2-й, буд. 2 кв. 3, Сорокине, 22145",+380 03 875 63 40,iaremaderhach@example.com
Вакарчук,Христина,Сергіївна,Жіноча,1976-04-28,Круп'є,хутір Сколе,"сквер Топольського, буд. 902 кв. 620, Почаїв, 07880",+380 45 536-88-97,petrokhudobiak@example.com
Щириця,Маруся,Іванівна,Жіноча,1945-05-03,Астрофізик,хутір Шепетівка,"провулок Лиманчик 2-й Лінія 2-га, буд. 6 кв. 682, Приморськ (Україна), 86987",+380 57 709-00-10,xhunko@example.org
Черінько,Ігнат,Віталійович,Чоловіча,1981-12-02,Мовознавець,хутір Сміла,"площа Академіка Вільямса, буд. 126 кв. 748, Остер , 10141",+380 89 150-98-97,andriishynmartyn@example.org
Рябченко,Панас,Петрович,Чоловіча,1990-04-05,Мірошник,місто Борислав,"провулок Жасминна, буд. 81, Щолкіне, 51381",+380 81 667 88 33,jlesyk@example.com
Оніщук,Олесь,Андрійович,Чоловіча,1968-12-23,Слідчий,селище Нетішин,"площа Лізи Чайкіної, буд. 39, Рогатин, 19134",+380 48 550-68-02,qhaivoronskyi@example.net
Петрик,Клавдія,Андріївна,Жіноча,1958-05-16,Мовознавець,село Брянка,"площа Лінія 42-га, буд. 108 кв. 96, Снігурівка, 73096",+380 70 593 78 78,trokhymdubas@example.com
Ґереґа,Мирослав,Романович,Чоловіча,1977-11-05,Ботанік,село Світлодарськ,"проспект Хаджибейська дорога, буд. 68 кв. 850, Вуглегірськ, 58392",+380 (11) 560-50-41,franchukspas@example.org
Лубенець,Геннадій,Павлович,Чоловіча,1970-07-05,Електротехнік,село Сватове,"шосе Стеценко, буд. 90, Теплодар, 98924",031 015 10 97,xhuzenko@example.com
Бабак,Сніжана,Андріївна,Жіноча,1953-03-22,Промисловець,місто Кривий Ріг,"парк Декабристів, буд. 97 кв. 978, Зіньків, 33731",+380 (27) 795-08-98,milena50@example.com
Затула,Данна,Ярославівна,Жіноча,1981-08-09,Прокурор,село Дрогобич,"набережна Юхима Фесенка, буд. 4, Тульчин, 36681",417-07-63,davydhaievska@example.org
Жук,Теодор,Юрійович,Чоловіча,1961-10-26,Бібліотекар,селище Іршава,"вулиця Героїв Небесної Сотні, буд. 158 кв. 70, Зміїв, 30568",+380 29 950-35-97,xchubai@example.com
Рак,Василина,Павлівна,Жіноча,2008-03-23,Гірник,село Першотравенськ,"провулок Лиманний, буд. 71 кв. 6, Охтирка, 81675",+380 32 495-29-57,kostiantyn04@example.org
Гайда,Мирон,Ярославович,Чоловіча,2003-03-27,Письменник,місто Оріхів,"набережна Малиновський, буд. 55 кв. 613, Хрустальний, 54670",089 942 81 16,satsiuktrokhym@example.org
Петлюра,Єфрем,Володимирович,Чоловіча,1972-11-05,Епідеміолог,селище Корсунь-Шевченківський,"узвіз ПшеничнаРадищева, буд. 616, Олешки, 28063",680 29 57,danusyk@example.org
Матяш,Тереза,Віталіївна,Жіноча,1939-02-16,Ді-джей,село Мостиська,"сквер Щоглова, буд. 248, Рава-Руська, 17668",+380 61 090-65-26,cokhrimenko@example.org
Коваленко,Богдан,Григорович,Чоловіча,1977-06-29,Ріелтор,місто Чигирин,"сквер Садова 3-тя, буд. 42, Гнівань, 14496",899 03 23,adakhno@example.org
Цюпа,Владислав,Євгенович,Чоловіча,1948-02-25,Стоматолог,місто Славутич,"парк Рівності 2-й, буд. 392 кв. 267, Полтава, 66172",+380 82 659-50-82,artymyshynokseniia@example.com
Цюпа,Мартин,Іванович,Чоловіча,1955-08-31,Краєзнавець,селище Знам'янка,"узвіз Обільний 1-й, буд. 067 кв. 842, Оріхів, 82195",+380 26 897-15-58,zakhar11@example.org
Андрієнко,Ярослава,Романівна,Жіноча,1991-11-29,Математик,хутір Березівка,"шосе Канатна, буд. 480, Снігурівка, 33969",051 609 47 40,vakhniihanna@example.net
Опанасенко,Валерій,Євгенович,Чоловіча,1968-10-20,Патологоанатом,місто П'ятихатки,"набережна Академіка Сахарова, буд. 3, Бобровиця, 86515",+380 (14) 754-22-15,fedirvashchuk@example.net
Аврамчук,Роксолана,Володимирівна,Жіноча,1986-11-13,Головний меркшейдер,селище Буськ,"проспект Офіцерський 2-й, буд. 405 кв. 9, Жашків, 08670",572-72-62,artiukhoksana@example.com
Сірченко,Розалія,Віталіївна,Жіноча,2001-08-10,Складальник,хутір П'ятихатки,"узвіз Яблочкіної, буд. 126 кв. 0, Конотоп, 16184",+380 40 618-06-35,charnyshoksana@example.org
Височан,Тимофій,Андрійович,Чоловіча,1939-08-03,Швачка,хутір Старий Самбір,"площа Кибальчича, буд. 268 кв. 87, Бунге , 24583",+380 (06) 327-06-08,ieva08@example.net
Власюк,Анастасія,Леонідівна,Жіноча,1959-06-26,Бухгалтер,селище Ромни,"проспект Золотий берег, буд. 863 кв. 0, Сокиряни, 99584",607 61 24,zpavlenko@example.net
Бакуменко,Дарина,Богданівна,Жіноча,1993-06-16,Медик,хутір Кіцмань,"шосе 10-та Суворовська, буд. 32 кв. 8, Саки , 53663",068 022 64 78,dan08@example.net
Єрошенко,Любов,Ярославівна,Жіноча,1959-03-08,Візажист,місто Кипуче,"проспект Середньофонтанська, буд. 935 кв. 927, Угнів, 97987",246 00 72,rostyslavderevianko@example.net
Носенко,Альберт,Васильович,Чоловіча,2002-07-22,Зоолог,село Середина-Буда,"узвіз Косовська, буд. 8 кв. 86, Білицьке, 90176",+380 12 984-14-41,kamillahunko@example.org
Петренко,Прохір,Сергійович,Чоловіча,1956-02-26,Кінорежисер,хутір Тисмениця,"проспект Лінійна, буд. 287 кв. 7, Фастів, 47141",054 085-32-07,bohdanromanenko@example.org
Цимбал,Болеслав,Олександрович,Чоловіча,1979-08-31,Дантист,селище Суми,"набережна Качалова, буд. 851 кв. 42, Зоринськ, 20270",051 898 52 83,ctryhub@example.org
Баклан,Павло,Іванович,Чоловіча,1978-06-17,Мистецтвознавець,селище Кам'янське,"сквер Аеропортівська, буд. 4 кв. 52, Вовчанськ, 44281",+380 01 531 71 37,qatamaniuk@example.net
Яценюк,Орхип,Григорович,Чоловіча,1988-08-12,Гірник,селище Алупка,"набережна Верещагіна, буд. 115, Бориспіль, 71605",+380 39 241 00 84,makar96@example.net
Дзиндра,Альбіна,Григорівна,Жіноча,1985-06-22,Археолог,село Балаклія,"шосе Ялинкова, буд. 677, Торецьк, 19423",+380 85 948 65 90,zkorsun@example.com
Мамчур,Кирило,Дмитрович,Чоловіча,1994-10-26,Стоматолог,хутір Бершадь,"площа Дунаєвського 2-й, буд. 15, Козятин, 05147",058 230-96-39,overhun@example.net
Цимбал,Марія,Володимирівна,Жіноча,2005-01-16,Футболіст,селище Южне,"шосе М’ясоєдовська, буд. 925 кв. 427, Копичинці, 79799",+380 30 193-11-28,rzabila@example.net
Годунок,Демид,Андрійович,Чоловіча,1970-02-07,Модель,село Лубни,"парк Зоряна, буд. 6 кв. 34, Фастів, 14170",+380 89 790-47-97,khomykpanteleimon@example.com
Верховинець,Валерій,Васильович,Чоловіча,1952-05-06,Астроном,місто Звенигородка,"провулок Французький, буд. 78, Олевськ, 21353",+380 34 834-35-02,ifranko@example.org
Цибуленко,Гаврило,Петрович,Чоловіча,1983-04-08,Архітектор,село Обухів,"узвіз Аеропортівський 5-й, буд. 6 кв. 38, Кодима, 89151",+380 80 800-05-98,stanislav85@example.net
Назаренко,Трохим,Богданович,Чоловіча,1997-11-23,Кінорежисер,місто Тростянець,"шосе Розумовський 2-й, буд. 57, Оріхів, 05571",084 709 93 36,ievtushokboryslav@example.net
Михайлюк,Леон,Вікторович,Чоловіча,1948-05-04,Слідчий,місто Новоукраїнка,"площа Шкільний аеродром, буд. 8 кв. 96, Павлоград, 09524",+380 72 937-47-71,iemetsamvrosii@example.com
Євтушок,Панас,Леонідович,Чоловіча,1943-04-09,Краєзнавець,село Городня,"набережна Державіна, буд. 37, Хорол , 35352",+380 38 507-62-72,oleksandrbandura@example.com
Андрейко,Пріска,Миколаївна,Жіноча,1996-07-19,Промисловець,селище Заводське,"шосе Мічманський 2-й, буд. 1 кв. 53, Хотин, 86329",+380 (46) 927-97-06,sviatoslav26@example.net
Атаманюк,Оксенія,Вікторівна,Жіноча,1973-12-06,Детектив,хутір Золочів,"проспект Красних Зорь, буд. 2, Калуш, 14862",+380 89 352-48-84,oostapchuk@example.net
Асаула,Аврелій,Юрійович,Чоловіча,1984-03-19,Сценарист,село Деражня,"вулиця Шкільний, буд. 43 кв. 99, Білгород-Дністровський, 41717",086 824-90-16,volodymyra95@example.org
Бевз,Роксолана,Миколаївна,Жіноча,1989-10-01,Візажист,місто Городок,"парк Жоліо-Кюрі, буд. 424, Кременець, 78050",+380 23 295-68-69,dubynaherman@example.org
Бабко,Ада,Романівна,Жіноча,1982-08-31,Патологоанатом,селище Армянськ,"площа Восьмого березня, буд. 892 кв. 2, Бахчисарай, 04578",+380 (27) 664-28-05,rizhakevych@example.org
Ґерета,Богодар,Федорович,Чоловіча,1962-10-16,Музикант,село Ірпінь,"вулиця Пiвденний, буд. 4 кв. 44, Полонне, 17712",865-16-25,petrykiryna@example.org
Атаманюк,Нестор,Миколайович,Чоловіча,1998-04-22,Локсмайстер,місто Дубровиця,"сквер Чернишевського, буд. 0 кв. 04, Біла Церква, 46365",414 05 29,jlukash@example.net
Барабаш,Ольга,Іванівна,Жіноча,1955-08-06,Електротехнік,місто Корець,"площа Івана Вазова, буд. 120, Баштанка, 98424",234 41 42,zviter@example.com
Девдюк,Соломон,Федорович,Чоловіча,1945-11-26,Клоун,хутір Кілія,"площа Приморська, буд. 2, Сокиряни, 64782",013 590-33-50,gzaporozhets@example.net
Годунок,Вадим,Павлович,Чоловіча,1959-07-02,Етнограф,хутір Бахмут,"сквер Лінія 42-га, буд. 2, Ковель, 23705",243 29 79,shvachkohalyna@example.com
Цимбал,Данило,Євгенович,Чоловіча,1957-01-01,Дантист,місто Вознесенівка,"парк Москвіна, буд. 239 кв. 2, Зимогір'я, 02331",+380 11 495 31 52,vasylpustovit@example.net
Ґалаґан,Альберт,Федорович,Чоловіча,1979-03-24,Шериф,селище Дергачі,"узвіз Дальницьке, буд. 357, Тростянець, 03415",478-77-37,albinalemeshko@example.com
Шахрай,Георгій,Іванович,Чоловіча,1986-05-24,Режисер,селище Привілля,"площа Володимира Хавкіна, буд. 44, Остер , 64296",+380 54 236 59 30,chuikookseniia@example.net
Чала,Леон,Петрович,Чоловіча,1962-11-29,Програміст,місто Вараш,"узвіз Кипарисний 1-й, буд. 54, Комарно, 39605",085 774 37 59,halynahaida@example.org
Зарудний,Микита,Іванович,Чоловіча,1991-04-29,Медик,селище Севастополь,"набережна Проектований 4-й, буд. 09, Шаргород, 37487",084 374 81 93,pavlo73@example.net
Рубан,Дмитро,Богданович,Чоловіча,1957-11-10,Державний службовець,село Корсунь-Шевченківський,"парк Стахановський 4-й, буд. 616 кв. 5, Мукачево, 38870",+380 14 432 59 87,ebabiuk@example.com
Дрозденко,Амалія,Юріївна,Жіноча,1991-06-08,Живописець,село Тячів,"парк Флотська, буд. 013 кв. 35, Нововолинськ, 89272",157 34 12,oryna75@example.net
Ґоляш,Геннадій,Іванович,Чоловіча,1942-05-03,Мінералог,місто Острог,"сквер Тульська, буд. 288 кв. 4, Соснівка , 28819",102 92 66,iryna69@example.com
Ващенко,Богуслав,Іванович,Чоловіча,1982-05-06,Адвокат,село Пустомити,"провулок Сєрова, буд. 1, Золотоноша, 79911",740-77-44,semen99@example.org
Єрмоленко,Соломія,Дмитрівна,Жіноча,1949-04-29,Кінолог,селище Новий Калинів,"сквер Баркасний, буд. 668 кв. 1, Богодухів, 86022",308 85 65,nazar23@example.com
Гайденко,Аврелій,Григорович,Чоловіча,1974-03-05,Краєзнавець,село Березівка,"сквер Навігаційний, буд. 19, Верхівцеве, 44059",264 38 24,plytvyn@example.net
Забарна,Олександр,Андрійович,Чоловіча,1984-07-16,Шериф,хутір Суми,"провулок Набережна, буд. 5, Бобровиця, 05095",+380 20 103-83-29,ytereshchuk@example.com
Валенко,Розалія,Григорівна,Жіноча,1990-09-17,Професор,селище Ізюм,"площа Новощіпний ряд, буд. 629, Дунаївці, 18290",007 649-40-08,taras22@example.org
Павлик,Розалія,Вікторівна,Жіноча,2003-09-01,Дантист,село Верхньодніпровськ,"сквер Одеса-Головна, буд. 54 кв. 637, Барвінкове, 26113",085 816 07 05,zatulavioletta@example.org
Пʼятаченко,Віра,Миколаївна,Жіноча,1957-08-26,Диригент,селище Корсунь-Шевченківський,"набережна Астрономічний, буд. 310 кв. 7, Джанкой, 79522",+380 21 569-76-52,lavrenkodemian@example.org
Андрусенко,Аврелій,Леонідович,Чоловіча,1999-02-11,Астроном,село Кролевець,"вулиця Каховський, буд. 583, Чорнобиль, 67585",047 640-62-24,wpetliura@example.com
Влох,Богуслав,Васильович,Чоловіча,1939-04-05,Кінорежисер,хутір Докучаєвськ,"набережна Соляний 3-й, буд. 83 кв. 517, Сімферополь, 84667",+380 18 803 12 02,nesterenkoavrelii@example.net
Ватаманюк,Лукʼян,Васильович,Чоловіча,1990-01-14,Математик,хутір Таврійськ,"сквер Деволанівська, буд. 45 кв. 6, Іршава, 71886",530 83 82,wbaidak@example.net
Чарниш,Пріска,Вікторівна,Жіноча,1968-01-24,Акушер,село Вугледар,"проспект Балтський 4-й, буд. 352 кв. 9, Яворів, 84855",+380 54 446 20 34,pavlo58@example.org
Михалюк,Маруся,Федорівна,Жіноча,1938-12-25,Музичний редактор,місто Брянка,"вулиця Богдана Хмельницького, буд. 22, Горлівка, 97340",+380 48 169 63 17,cshyian@example.org
Примаченко,Валентин,Федорович,Чоловіча,1975-03-23,Намотувальник,селище Щастя ,"вулиця Аеродромний 2-й, буд. 569 кв. 86, Красилів, 03491",+380 37 935-91-80,nadiia44@example.org
Худобʼяк,Ярослав,Віталійович,Чоловіча,1966-09-10,Психолог,село Василівка ,"провулок Східний, буд. 0 кв. 505, Іллінці, 56651",288-60-21,smasliak@example.com
Дуплій,Данило,Федорович,Чоловіча,1972-08-20,Кур'єр,хутір Конотоп,"проспект Пісочна, буд. 4, Дергачі, 78867",+380 38 778-33-15,abramchukorest@example.com
Захарченко,Адам,Віталійович,Чоловіча,1948-12-12,Льотчик,місто Добромиль,"вулиця 1-ша Лінія Марії Демченко, буд. 68, Моршин, 07364",+380 92 858-26-75,iarynakabanenko@example.org
Вовк,Герман,Андрійович,Чоловіча,1999-03-07,Мірошник,місто Мала Виска,"сквер Шишкіна, буд. 917, Нова Одеса, 49110",+380 55 397-49-79,tshamrai@example.net
Величко,Дмитро,Петрович,Чоловіча,1960-06-30,Палеонтолог,село Дубляни,"площа Садова, буд. 471 кв. 6, Пирятин, 90977",043 743 75 10,artiushenkobohdan@example.com
Короленко,Віолетта,Федорівна,Жіноча,1939-09-26,Менеджер,село Вугледар,"узвіз Косовська, буд. 2 кв. 550, Нетішин, 16737",710-19-10,pushkarmykhailo@example.org
Адаменко,Ростислав,Васильович,Чоловіча,1980-06-04,Бізнесмен,село Фастів,"набережна Георгія Гамова, буд. 3, Верхньодніпровськ, 13673",056 440-61-81,ostap25@example.org
Євтушенко,Богуслав,Петрович,Чоловіча,1989-01-12,Соціолог,місто Шостка,"сквер Бузкова, буд. 27 кв. 91, Решетилівка, 89882",+380 87 181 68 33,prokhirholoborodko@example.com
Тичина,Геннадій,Олександрович,Чоловіча,1969-06-13,Піаніст,місто Подільськ,"провулок Уральська, буд. 501 кв. 58, Золочів, 27951",557 96 77,esmyk@example.org
Гузь,Трохим,Сергійович,Чоловіча,1964-09-15,Локсмайстер,хутір Чуднів,"проспект Миколаївська дорога, буд. 3, Новоселиця, 10525",+380 05 951 05 21,iaremkohanna@example.org
Мамчур,Євген,Віталійович,Чоловіча,1961-01-29,Астронавт,хутір Прилуки,"набережна Чорноморський 5-й, буд. 440 кв. 835, Василівка , 51302",+380 67 967-31-91,haidamakaiosyp@example.org
Демʼянюк,Леонід,Олександрович,Чоловіча,1979-10-13,Кінокритик,село Джанкой,"парк Маріїнська, буд. 57 кв. 8, Приморськ (Україна), 97648",020 801-48-27,vakarchuksolomiia@example.net
Масоха,Ілля,Ярославович,Чоловіча,1962-10-07,Бібліограф,місто Єнакієве,"узвіз Скляна, буд. 520, Саки , 62698",+380 80 173-03-00,shovkopliasstefan@example.org
Швачка,Франц,Романович,Чоловіча,1959-01-28,Ґрунтознавець,селище Лохвиця,"проспект Амурський 2-й, буд. 80 кв. 889, Апостолове, 51380",655 86 77,iatsenkohryhorii@example.org
Забара,Вікторія,Іванівна,Жіноча,1973-08-10,Бібліограф,місто Ірпінь,"провулок Князівський, буд. 1 кв. 28, Бобровиця, 78468",094 705-17-26,roksolanamedvedenko@example.net
Михайлюк,Дмитро,Миколайович,Чоловіча,1965-06-16,Бібліограф,село Мерефа,"вулиця Наявний 1-й, буд. 64 кв. 4, Малин, 53874",914-51-02,komarokhrim@example.com
Черінько,Демʼян,Романович,Чоловіча,1981-09-26,Психолог,село Сєвєродонецьк,"набережна Кримська, буд. 512 кв. 2, Амвросіївка, 66931",524-18-13,ostap93@example.org
Медведенко,Нестор,Петрович,Чоловіча,1988-06-17,Ґрунтознавець,село Березань ,"парк Шкільний, буд. 9 кв. 251, Горохів, 15893",+380 48 829-46-05,markosvystun@example.org
Симоненко,Опанас,Віталійович,Чоловіча,1966-03-28,Дерун,село Липовець,"шосе Академіка Богатського, буд. 95, Переяслав, 46097",852 70 50,grak@example.net
Швачко,Богуслава,Григорівна,Жіноча,2006-05-10,Співак,хутір Василівка ,"площа Наявний 7-й, буд. 6, Яготин, 17594",621-68-70,taras37@example.com
Міщенко,Одарка,Василівна,Жіноча,1970-01-20,Палеонтолог,хутір Щолкіне,"шосе Шухевича Романа, буд. 892 кв. 3, Ніжин, 30955",+380 06 919 12 90,volodymyrademianchuk@example.com
Щербань,Розалія,Олександрівна,Жіноча,1961-04-20,Кушнір,місто Устилуг,"площа Партизанська, буд. 1, Васильків, 53586",+380 98 514 72 98,sviatoslavsyrotenko@example.org
Андрейко,Панас,Дмитрович,Чоловіча,2002-05-13,Дерун,хутір Тетіїв,"парк Рульовий, буд. 934 кв. 083, Алушта, 85716",013 386-44-20,leopoldromanenko@example.org
Байда,Артем,Володимирович,Чоловіча,1982-09-17,Музикознавець,хутір Тетіїв,"сквер Молодіжна, буд. 01 кв. 8, Погребище, 73162",684-47-56,olehmykytiuk@example.org
Верес,Хома,Сергійович,Чоловіча,1988-03-31,Фрілансер,селище Трускавець,"узвіз Зернова, буд. 962, Сокаль, 47842",+380 58 353-80-36,milena88@example.net
Червоненко,Болеслав,Ярославович,Чоловіча,1962-08-28,Науковець,село Рені,"проспект Мелітопольська, буд. 41, Першотравенськ, 54208",020 920 64 65,martachalenko@example.org
Бебешко,Одарка,Вікторівна,Жіноча,1989-12-30,Палеонтолог,селище Борщів,"сквер Ползунова 2-й, буд. 28 кв. 497, Горішні Плавні, 94497",+380 (23) 437-40-53,viktor22@example.net
Данильчук,Пармен,Олександрович,Чоловіча,1965-05-09,Конструктор,село Кам'янське,"узвіз Академіка Корольова, буд. 8 кв. 813, Чистякове, 38837",515 88 18,veniiamynshvachka@example.org
Барабаш,Ігор,Федорович,Чоловіча,1970-01-06,Фермер,місто Зугрес,"узвіз 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 19, Новоселиця, 55899",+380 67 443 23 06,iakiv32@example.com
Титаренко,Руслан,Вікторович,Чоловіча,1994-06-28,Сценарист,село Красноперекопськ,"провулок Воронцовський, буд. 3 кв. 2, Кобеляки, 96399",+380 10 645-64-73,turkaloiaroslav@example.net
Худобʼяк,Павло,Федорович,Чоловіча,1942-09-21,Географ,місто Виноградів,"парк Миколи Огренича, буд. 6 кв. 4, Ізяслав, 73915",+380 94 685-52-83,boryslavierchenko@example.org
Артюх,Гаврило,Петрович,Чоловіча,1998-02-02,Модельєр,місто Родинське,"узвіз 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 1, Миргород, 79279",077 586 01 79,oleksandr24@example.org
Дацюк,Володимир,Віталійович,Чоловіча,1983-11-05,Кінокритик,селище Єнакієве,"сквер Олександрівський, буд. 149 кв. 851, Дунаївці, 89281",+380 11 464 43 54,iakiv17@example.net
Вівчаренко,Данило,Вікторович,Чоловіча,1976-06-05,Кінорежисер,місто Старий Крим,"провулок Глазунова, буд. 693, Сорокине, 82805",011 767-68-61,demyd43@example.org
Філіпенко,Ірина,Федорівна,Жіноча,1993-08-08,Електромонтажник,село Деражня,"провулок Окружна, буд. 87 кв. 7, Біла Церква, 44771",+380 85 887-89-00,hermanskorobohatko@example.net
Бебешко,Галина,Дмитрівна,Жіноча,1969-06-12,Фермер,місто Городня,"площа Балтський 7-й, буд. 855, Жидачів, 68325",541-00-14,klavdiiadanko@example.org
Голобородько,Лариса,Юріївна,Жіноча,1961-05-07,Прокурор,хутір Рудки,"шосе Десятого квітня, буд. 76, Галич, 79276",+380 12 977-14-41,mdzhun@example.net
Лисенко,Панас,Володимирович,Чоловіча,1951-10-05,Науковець,місто Решетилівка,"площа Вернидуба, буд. 865 кв. 569, Червоноград, 78430",061 939 01 32,vzakharenko@example.org
Артимишин,Августин,Григорович,Чоловіча,2004-03-24,Музикант,місто Чугуїв,"провулок Авдєєва-Чорноморського, буд. 2, Соснівка , 89683",+380 45 813-76-53,vitaliidankiv@example.org
Конопленко,Йосип,Павлович,Чоловіча,1957-05-24,Скульптор,селище Слов'янськ,"вулиця Василя Симоненка, буд. 500, Олешки, 02750",084 000-54-19,omelian43@example.org
Василевич,Панас,Ярославович,Чоловіча,1957-03-20,Намотувальник,хутір Щастя ,"сквер Авіаційна, буд. 8, Помічна, 19325",+380 36 491-40-40,nbarabash@example.com
Чала,Лариса,Миколаївна,Жіноча,1972-05-10,Будник,селище Володимир-Волинський,"проспект Сумський, буд. 65 кв. 3, Тячів, 80532",483-38-71,qdotsenko@example.org
Даниленко,Макар,Павлович,Чоловіча,1952-04-07,Фермер,селище Підгайці,"узвіз Паустовського, буд. 932 кв. 35, Здолбунів, 76459",+380 11 951 78 53,lizaiemets@example.org
Гузій,Емілія,Євгенівна,Жіноча,1989-03-31,Архітектор,місто Довжанськ,"шосе Пастера, буд. 525, Попасна, 26264",095 321-56-39,lskyba@example.net
Товстуха,Розалія,Леонідівна,Жіноча,1955-01-07,Продюсер,село Конотоп,"парк Магнітогорський 2-й, буд. 978 кв. 99, Перемишляни, 52957",065 971-67-74,vlokhmariia@example.net
Гайдамака,Миколай,Андрійович,Чоловіча,1987-04-27,Мистецтвознавець,хутір Славутич,"проспект Амундсена, 1-й, буд. 338 кв. 12, Сокиряни, 87084",431 18 48,vitaliitsisyk@example.net
Полтавець,Юстим,Юрійович,Чоловіча,2006-02-17,Хореограф,місто Кипуче,"шосе Гімназична, буд. 7, Пологи , 78110",202-67-73,azarhaida@example.org
Андрійович,Богданна,Юріївна,Жіноча,1958-01-18,Графік,селище Винники,"проспект Олександра Кутузакія, буд. 999, Бровари, 23851",360-53-57,orkhyp82@example.net
Демʼяненко,Володимир,Романович,Чоловіча,1994-06-11,Фармацевт,хутір Моршин,"сквер Педагогічний, буд. 6, Гола Пристань, 06127",+380 24 276 96 28,olifirenkohordii@example.com
Верховинець,Мартин,Вікторович,Чоловіча,1964-08-28,Реставратор,селище Хоростків,"сквер Куликове поле, буд. 4 кв. 76, Лубни, 86359",+380 (76) 823-61-86,smakohon@example.com
Вергун,Мілена,Віталіївна,Жіноча,2001-04-07,Гінеколог,хутір Коломия,"парк Князівський, буд. 83, Герца, 50702",033 789 46 72,avhustynfurs@example.org
Гриценко,Марʼяна,Григорівна,Жіноча,1947-09-14,Програміст,село Новий Буг,"шосе Пересипська 6-та, буд. 5 кв. 364, Стебник, 95696",035 670-88-16,volodymyrasomko@example.org
Макаренко,Панас,Романович,Чоловіча,1940-01-13,Диригент,місто Перещепине,"набережна Водопровідний 2-й, буд. 5 кв. 2, Козятин, 15361",+380 09 385 02 98,demianchukalevtyn@example.com
Алексійчук,Ростислав,Миколайович,Чоловіча,1946-12-30,Єгер,місто Калуш,"парк Грибоєдова, буд. 677, Березань , 51096",900-14-30,pavlozubko@example.org
Теличенко,Прохір,Богданович,Чоловіча,1952-05-28,Бібліотекар,селище Звенигородка,"сквер Маршала Малиновського, буд. 049 кв. 52, Антрацит , 34382",+380 16 086 07 20,zlavrenko@example.org
